age,income,loan_amount,loan_term,employment_years,credit_score,has_other_loans,approved
33,105976,66658,6,1,463,1,0
62,53456,7463,36,44,349,0,1
23,102588,27435,48,5,459,1,0
70,131885,7095,48,45,774,0,1
36,55690,27536,12,12,736,1,1
61,22904,11549,36,0,653,1,0
21,94586,64586,48,1,334,1,0
34,110156,27174,12,6,720,1,1
51,48011,52110,12,32,547,1,0
21,110809,5846,12,0,415,0,0
55,15620,11994,48,19,797,0,1
23,128565,53763,12,1,818,0,1
61,102421,63439,6,31,760,0,1
39,102992,69194,48,6,806,1,1
67,112851,61376,12,30,631,1,0
26,15152,47941,24,5,761,1,0
66,55877,45435,60,25,390,1,1
23,129675,52243,48,4,464,0,0
56,13071,28526,60,32,814,0,0
54,54064,13289,60,21,324,0,0
39,111877,56804,24,15,470,1,0
19,142391,49704,12,1,547,0,0
45,25909,11154,12,13,809,0,0
55,143266,53369,36,19,801,0,1
37,77774,10517,60,4,717,1,1
56,124789,46453,12,3,321,0,1
28,103436,60728,60,4,525,1,0
36,93718,3194,48,13,323,1,0
39,143181,23124,24,21,681,1,0
26,88099,28262,12,2,479,0,0
62,22852,65158,6,31,653,1,0
59,115544,22958,36,5,404,0,1
50,149058,33640,6,12,650,0,1
40,122225,66055,48,20,550,0,0
21,71639,3191,36,0,539,0,0
55,66599,55672,60,10,654,0,1
62,105214,39538,6,21,680,0,1
21,42433,5944,6,3,307,0,0
37,21843,25681,48,6,534,0,0
68,122299,12449,12,18,615,0,1
18,88103,67661,36,0,328,1,0
49,97837,13097,6,25,551,0,1
28,55140,12866,48,10,727,0,1
36,47384,45437,12,13,623,0,0
19,72523,63470,48,0,425,0,0
43,22973,22062,6,23,392,1,0
21,88497,42536,24,3,342,1,0
50,22956,2845,24,21,384,1,0
31,113932,15562,36,8,656,1,0
67,15129,30100,12,6,424,0,0
26,71176,55296,36,5,739,1,1
18,66964,22767,60,0,332,0,0
55,110124,39141,60,34,600,1,1
47,127647,52778,6,19,424,1,0
34,73512,68816,24,14,346,1,0
68,117979,29460,60,31,726,0,1
36,40147,10832,48,4,430,0,1
45,23375,62811,6,23,623,1,0
51,128115,54972,60,32,477,0,0
51,113190,28959,48,11,615,1,1
51,51107,39013,36,16,730,1,0
26,106501,25008,24,8,699,0,1
34,107179,69921,6,16,605,0,1
63,48261,57431,6,4,314,1,0
24,13125,24328,60,1,530,1,0
37,98712,60354,6,16,535,0,0
37,38872,10640,24,14,330,0,0
27,80309,68928,12,5,496,0,0
66,89297,26697,12,9,564,0,1
37,86297,10034,24,0,343,0,0
32,47363,19496,36,13,628,1,0
28,126726,63397,12,8,393,1,0
56,138988,56772,60,10,486,0,0
58,16630,55014,36,20,702,1,0
47,132923,6059,60,19,477,0,0
37,92036,56553,36,8,505,1,0
61,118796,49185,60,30,452,1,1
32,107504,39277,24,11,752,1,1
51,58555,5924,12,21,774,0,0
32,131541,5776,36,7,549,0,0
19,54436,39552,36,0,484,0,0
37,57109,36323,6,14,745,1,0
44,144618,67416,36,19,338,1,0
24,110602,33264,6,6,383,1,0
29,21544,15411,12,0,754,1,0
21,119917,52319,60,2,435,1,0
69,48195,25456,12,2,713,1,1
52,94812,1943,48,29,335,1,1
25,121600,38681,12,7,615,0,0
19,38529,27968,60,1,386,1,0
55,86399,14151,36,14,754,1,1
25,134399,41169,36,3,390,0,0
48,58544,25292,6,2,736,1,0
68,123619,63407,6,21,443,0,1
43,113387,3492,6,18,419,0,0
53,125981,22046,60,21,327,1,1
66,10488,30364,6,31,561,0,0
30,112457,15968,36,7,562,0,1
62,31684,37162,6,25,519,1,0
34,100291,60436,36,4,598,1,0
46,98961,9238,36,22,626,1,1
67,86236,6517,48,15,316,1,1
29,100849,27682,36,2,730,1,0
50,10053,57639,24,21,413,0,0
25,124787,48890,36,5,670,1,1
18,79447,57247,24,0,545,0,0
18,76699,39301,6,0,849,1,0
35,111934,19131,60,14,640,0,0
57,142750,63529,24,3,467,0,0
62,54361,19259,60,2,390,1,0
21,101991,44587,6,1,432,1,0
62,89309,12176,48,3,739,0,1
38,84002,41054,60,7,385,0,0
22,141001,64761,60,1,789,1,1
19,48907,4818,12,0,801,1,1
39,31038,23372,36,6,345,0,1
41,93978,19201,36,15,740,1,1
30,70226,26973,36,7,720,1,0
30,47038,23360,6,4,793,0,0
66,22954,5260,36,33,770,0,0
20,82088,16303,48,0,763,1,0
64,132824,27104,60,19,490,1,0
44,90151,19678,12,5,611,1,1
59,28557,33122,48,4,483,1,0
45,10310,15439,36,13,669,1,0
55,81718,35452,24,19,403,1,0
24,136773,1256,24,2,353,1,0
21,54483,43989,36,1,643,1,1
65,87986,2024,12,32,517,0,1
33,128216,14470,24,13,821,1,1
36,148806,63033,48,0,602,0,1
23,56396,37415,48,2,434,1,0
32,83903,67062,48,2,433,1,0
39,38571,2778,60,17,786,1,1
58,145186,57968,36,13,514,0,0
29,40409,43691,6,0,465,0,0
50,47575,10424,24,5,459,1,0
21,64282,51062,36,3,768,1,1
55,132799,42568,36,27,446,1,1
70,142473,13027,12,28,514,1,1
62,149416,54629,48,12,458,0,1
